,training_weighted_cost
0.05,0.06494422683948346
0.1,0.141118431042918
0.15,0.2224416599908187
0.2,0.3074453776407484
0.25,0.39542822442906495
0.3,0.48599615965968046
0.35,0.5788975547290762
0.4,0.6740016910070917
0.45,0.7712155523516334
0.5,0.8704614353263461
0.55,0.971714133291619
0.6,1.0749833618269513
0.65,1.1803169352701723
0.7,1.2878011813276777
0.75,1.3975619289562986
0.8,1.509810061149211
0.85,1.6248805184756319
0.9,1.7433187483597756
0.95,1.86623747165624
