,training_weighted_cost
0.05,0.007932480997781101
0.1,0.018785839880199676
0.15,0.03138292239241163
0.2,0.045416858069430854
0.25,0.060719179120107644
0.3,0.07720233710222749
0.35,0.09481846305652326
0.4,0.11355481936253316
0.45,0.1334118770877931
0.5,0.15440097817110998
0.55,0.17656054189969084
0.6,0.19995669196193497
0.65,0.2246795742304998
0.7,0.25086424384594413
0.75,0.2786823998442944
0.8,0.308394631612352
0.85,0.3404568927808441
0.9,0.3756227935665405
0.95,0.41549964039089105
